11.7;90.2
19.8;82.5
19.7;86.2
8.3;84
6.4;79.3
59.7;80.4
9.7;88.7
19.8;97.6
29.8;109.5
29.8;89.5
0;89.5
29.8;88.1
14.7;89.8
7.2;86
14.7;89.4
59.7;74.9
19.7;95.1
11.7;93.2
14.8;87.4
11.8;101.2
19.8;87.7
19.8;113.6
29.7;84.9
8.3;86.7
14.8;89.7
29.8;86.5
19.4;65.3
59.8;95.2
29.6;82.1
59.6;62.1
19.8;92.4
8.3;87.6
29.8;88.6
7.3;95.5
11.8;92.8
14.8;100.9
9.8;93
11.7;91.1
14.7;83.4
14.7;85.9
19.7;86.9
19.5;75.4
19.7;77.1
14.7;85.1
11.8;96.9
29.6;84.3
59.7;79.4
29.7;96.3
29.8;89.3
29.7;80
59.8;80.2
8.3;85.9
14.7;75.8
14.7;87.1
19.8;89.7
59.8;90.9
19.7;80.1
9.7;74.5
14.8;89
9.7;90.9
59.7;76
11.7;89.5
14.7;88.3
11.7;79.7
19.8;87.2
29.7;81.4
0;81.4
14.7;96.6
19.8;93
0;93
59.9;8.7
0;8.7
14.7;83.3
11.8;83.9
29.8;93.5
14.7;87.3
0;87.3
19.8;94
14.6;90.3
29.7;84.3
29.8;89.4
19.8;102.8
0;102.8
29.8;94.1
59.7;81.8
19.8;101.1
14.7;94.8
0;94.8
59.8;123.8
19.7;82.1
59.7;76.1
19.7;82.6
14.8;94.8
19.8;90.9
59.7;78.4
19.7;83.3
59.8;90.2
29.7;83.3
29.7;84.3
59.8;99.5
59.7;79.4
19.7;69.7
0;69.7
59.7;64.7
29.8;102
19.8;95.5
0;95.5
29.7;78.7
14.8;80.5
0;80.5
29.7;79.5
19.8;93
29.7;88.7
14.8;106.3
59.7;62.3
59.5;69.7
59.7;80.6
59.7;78.9
29.7;94.5
0;94.5
14.7;78.3
29.7;78.8
29.8;103.8
0;103.8
29.7;87
29.7;83.5
29.8;72.4
19.7;77.8
14.7;88.4
9.8;98.6
19.7;83.4
19.7;75.6
19.7;86.1
19.8;102.6
29.7;87.5
59.7;94.9
19.5;80
59.7;71.2
14.8;92
19.7;77.6
29.8;93.6
29.7;89.1
14.8;109.2
59.8;103
0;103
19.7;80.6
0;80.6
59.7;89.5
59.8;102.9
29.7;71.6
29.7;78.8
29.7;92.2
59.7;81.9
29.8;88.4
29.8;87.3
19.7;85.9
14.8;94.4
29.8;94.1
19.6;79.6
29.8;85.9
0;85.9
59.8;92.3
59.8;97.5
29.7;85.2
59.7;76.5
19.7;76.6
29.7;84.8
29.7;82.3
29.7;85.2
19.6;77.9
11.7;70.4
19.6;81
59.7;87.3
14.8;92.2
29.8;84
29.7;68.5
29.8;96.9
0;96.9
19.8;90.9
29.7;97.5
14.7;84.8
19.8;87.6
59.8;88.8
19.7;85.7
59.8;101.3
59.8;102.8
19.6;82.2
29.7;67.9
0;67.9
58.9;64.9
59.8;94.5
29.8;95
59.7;65.9
59.7;74.9
11.8;92.6
19.6;72.6
29.8;92.1
59.8;87.6
59.8;90.1
59.8;79.1
59.8;96.3
19.7;87.4
0;87.4
19.8;89.7
59.6;86.8
59.7;83
0;83
14.7;88.2
29.7;86.5
29.7;74.4
19.7;84.6
29.7;85.2
29.6;80.5
29.7;92
0;92
59.7;84.1
14.8;94.5
59.8;102
59.8;110.7
0;110.7
19.7;79.9
0;79.9
14.7;84
59.8;90.3
19.7;82.6
19.7;86.5
19.7;80.9
19.7;73.3
19.7;82.7
29.2;59.1
14.8;99.9
19.8;91.6
59.7;92
29.7;84
19.7;78.3
19.8;94.5
14.7;87.3
19.7;78.5
29.7;85
59.7;72.4
59.8;75.5
14.7;87.1
59.8;88.8
29.7;81
0;81
19.7;86.6
59.8;86.7
14.7;88.8
59.7;82.8
0;82.8
29.8;95.2
59.7;65.7
14.7;78.4
0;78.4
59.7;71
59.7;74.5
29.7;75.7
19.7;84
29.7;86.2
59.8;105.9
29.8;97.2
29.7;82.3
14.7;92.8
0;92.8
0;92.8
0;92.8
59.7;76.7
29.8;100.4
29.7;78.4
29.7;81.4
59.7;60.9
29.7;90
29.8;90.7
59.8;95.7
14.7;93.9
19.7;77.1
0;77.1
0;77.1
59.6;77.1
29.7;86.9
14.8;87.4
29.8;87.4
29.7;84.9
8.3;92.3
29.8;95.2
29.8;96.1
19.8;92.4
29.5;71.9
59.8;91.9
19.8;97.1
0;97.1
14.7;88.9
19.8;95.5
14.7;89.6
14.8;95.3
59.8;88.4
19.8;100.1
29.8;86.8
14.7;77.1
19.7;88.2
9.7;81
11.7;84.6
59.8;94
14.8;90.3
29.8;77.2
19.7;84.3
19.8;94.6
59.7;76.2
8.3;85
19.8;88.6
59.6;74.2
19.8;84.7
14.7;83.7
14.7;84.6
29.8;92.7
19.8;94.6
14.8;83.3
14.6;69.4
11.8;88.7
11.8;93.7
29.7;79.6
14.8;92.9
29.7;87.8
11.7;79.3
59.8;82.4
14.7;90.6
14.7;82.9
19.8;92.6
29.7;85.1
29.8;87.5
14.7;84.9
19.8;104.6
19.7;77.5
14.8;92.9
6.4;84.8
11.8;87.7
11.8;92.6
14.6;83.2
11.7;79.7
14.8;92.8
19.7;96.3
14.7;83.9
11.7;83.8
11.8;89.7
8.3;92.1
5.7;86.5
29.7;87.7
14.7;84.1
5.7;83.2
11.7;92.5
14.8;92.6
11.7;80.7
9.6;74.2
9.7;85.7
14.7;80.5
11.7;77.9
29.6;80.8
9.7;75.4
9.7;83.8
19.7;78.7
11.7;83.5
7.3;86.5
8.3;77.3
8.3;80.1
9.7;85.7
9.7;88.5
29.7;77.5
9.6;77.7
8.3;84.7
7.2;83.8
7.2;74.8
9.7;89.1
11.7;85.5
8.3;82.4
4.7;89.1
9.8;89.2
8.3;81.6
8.3;80.4
14.7;87.7
6.4;86.5
8.3;85
14.7;77.6
6.3;77.6
11.8;88.2
9.7;78.8
14.7;79.1
5.7;83.1
5.2;82.7
7.2;81.2
8.3;79.4
9.8;91.2
5.7;78.6
7.3;88
7.2;83.7
11.7;82.8
5.7;85.6
11.8;95.8
6.4;83.4
4.4;81.5
14.7;82.5
9.7;80.5
8.2;76.4
8.3;85.5
7.2;85.3
11.7;86.8
7.2;86.5
9.7;83.7
8.3;91.6
6.4;80.6
6.4;93.9
6.4;78.5
5.7;77.5
9.6;76
8.3;88.2
5.7;82.7
6.4;77.4
9.8;87.3
6.3;79.4
5.8;86.5
6.4;82.7
4.7;80.1
5.2;83.8
4.7;77.9
8.3;81.8
5.2;78.5
4.3;78
3.7;76.6
4.7;84.5
4;81.9
6.4;80.1
6.4;82.8
4;84.7
6.4;74.8
4;81.9
5.1;81.2
3.7;80.4
6.4;78.5
5.2;87.4
4.7;81.6
5.8;88.4
4.7;76.7
5.2;75.4
4.3;84.1
4;75.1
4.3;81.8
3.7;83.7
7.3;86.7
4.3;78.2
4.4;87.6
6.4;79.7
5.2;87.5
4;79.5
5.2;85.2
4.7;77.3
3.3;84.4
5.7;82.2
5.2;85.3
4.7;78.9
3.7;84.5
3.7;83.7
5.2;88.2
4.7;80
3.1;79.7
6.4;83.6
5.2;83
3.5;84.1
3.1;88.6
2.7;83.2
9.7;86
4.4;85.7
7.3;94.1
4;79.8
6.4;92.6
5.7;85.6
5.2;94.2
4.7;77.2
5.2;84.1
5.8;89
4.8;95.5
4.3;82
5.2;80.3
5.7;85
5.2;81.8
5.2;84.3
5.2;87.4
3.7;83.3
4.7;82.6
5.7;82.4
4;86.5
8.3;85.4
3;80.5
8.3;92.2
4.4;87.5
5.2;87.2
4.4;86.9
4.7;84.6
5.2;89.5
4;83.3
5.8;87.3
5.2;80.7
4;83.6
5.8;90.1
5.7;87.1
5.2;82.8
4;85.5
9.7;83.2
5.7;85
19.4;65.4
3.7;83.6
5.8;86.6
6.4;80.8
4.4;83.2
9.7;79.9
19.7;72.4
11.7;81.1
5.1;83.9
4.7;74
4;79.9
4.7;74.8
5.7;80.9
3.5;78.6
4.8;85.7
4.7;82
4.3;81.5
4;79
5.1;76.5
4.7;76.9
6.4;85.1
4.4;87.1
4.2;73.5
2.8;74.7
3.5;86.2
3.3;81.9
4.7;79
4.7;79.9
5.7;77.4
4.3;78.2
9.7;90.8
5.2;88.3
3.5;82.1
4.8;88.8
4.3;79.3
4.7;83.7
4.7;85
4.7;87
4.3;79.8
3.5;74.4
5.8;88.7
7.3;88.3
4;77
4.3;84
4.7;76.5
4;84.1
5.2;83.8
4.3;83
4;79.6
4.8;90.3
7.2;72.8
6.4;90.8
4.7;78.7
5.7;84.5
8.3;83.5
6.4;89.9
4;84.9
4;85.6
3.7;81.2
4.7;84.4
3.3;81.9
3.2;74.7
2.5;82
3.4;77.9
3.7;81.1
4.7;83.3
4.7;86.9
4.8;83.8
4.3;78.6
4.3;73.3
5.7;79.6
4;77.3
3.9;76.3
4;86.2
3.7;71.4
3.2;79.7
5.1;78.3
5.2;88.6
4.7;78.1
4;79.5
7.2;81.3
5.2;89.2
8.3;92.3
4.4;84
8.3;86.2
4.7;82.4
7.2;85.2
3.7;75.8
5.2;69.2
3.5;78.3
5.2;92.7
3.5;79.9
3.3;88.1
4.3;81.5
4;82.1
3.7;75.6
4;80.2
4.7;83
2.7;86.1
8.3;75.1
3.1;81.6
3.7;82.1
4.7;79.2
3.7;83.3
3.7;85.3
5.1;84.8
3.5;84.6
5.2;86.9
4.7;86.4
3.8;88.9
6.4;78
6.4;80.4
3.7;78.7
5.7;87.5
4.3;79.2
5.1;78.1
5.7;86.2
6.4;77.5
5.2;78
5.7;77.5
5.2;83
3.5;89.7
5.1;83.4
3.2;79.5
5.2;86.7
3.7;81.8
5.7;80.3
4;79.4
7.2;81.1
3.5;78.5
3.5;89.4
7.2;86.1
4;75.6
3.7;82.6
6.4;79.3
3.7;74.9
3.5;81.7
5.7;87.1
6.4;89.1
3.3;81.5
4;84.9
4.7;79.9
3.2;82.3
3.7;78
8.2;75.4
5.7;84.3
4.7;78.6
4.7;78.9
3.2;75.8
4.4;84.7
5.8;89.7
4;85.3
5.2;81.6
4.3;82.8
4.3;80.4
5.7;78.1
8.3;85.4
4;85
4.3;81.8
5.7;87.2
4.4;78.7
4.3;80.7
5.2;76.3
4;85.9
3.5;87
4.4;88.2
2.9;91.3
4.7;82.7
5.7;80.5
4.3;80.2
4.8;93.5
5.8;90
4;72.1
6.4;77.5
4.3;78
6.4;81.1
3.7;83.8
4.3;83.1
4.6;77
4;80.2
4;80.2
2.7;79.6
5.2;86.9
3.7;80.3
6.4;87.5
5.2;82.8
4;81.4
2.9;76.5
4.3;81.8
3.7;81.6
3.1;83.5
7.2;81.3
4.7;77.4
3;75.9
4;85.1
5.2;86.9
4;84.1
6.3;83.4
4.3;77.9
8.3;84.5
4;77.6
4;83.8
5.2;90.1
2.9;82.3
3.5;75.9
3.7;73.8
5.7;80.6
3.1;76
5.6;75.8
3.5;86.6
3.1;84
7.3;83.6
4.7;72.8
4.3;79.1
2.6;82.1
2.9;77
4;84.2
5.7;84.8
6.4;79.3
3;75.9
3.2;73.6
5.1;75.7
5.7;70.7
4;81.1
4.7;79
4.7;80.6
4.7;80.6
4.4;86.2
4.3;80.4
4;79.4
3;73.3
5.7;80
4;81.5
2.7;79.8
3;77
5.2;76.4
4.3;83.4
5.7;78.9
3.3;83.8
3.5;81.9
2.9;78.3
4;77.8
3.5;76.7
2.9;79.3
3.1;82.7
4.7;86.2
4.7;83.7
5.2;85.6
5.2;80.7
5.7;81.4
4.3;78.1
5.7;86
5.8;87
4.3;82.8
4.3;79.7
3.7;79.6
4;79.6
3.3;83.7
4;89.7
4.3;78
3.7;76.7
2.5;82.9
3.5;85.5
3;81.1
4.8;89.8
4.7;80.2
5.2;80.6
3.5;78.2
4;82.1
4;83.5
4.7;77.5
5.7;83.4
3.7;81.7
4.7;82.9
7.2;90.3
3.1;83.3
5.7;87.5
4.3;79.6
2.7;85.7
2.6;80.9
4.7;78.6
3.5;78.5
5.2;83.8
4.7;83.5
5.1;72
2.9;78.9
4.7;86
4.3;82.1
4;87.7
3.1;77
3.3;80.1
3.1;79.3
3.1;87.1
3.8;87.8
7.2;83.4
7.2;83.8
4;84.4
6.4;85.6
3.7;77.9
3.7;81
4.8;85.2
3.3;83.5
3.5;86.7
3.3;88.9
4.4;85.9
5.7;83.5
4.7;89.7
3.7;86
5.8;86.8
6.4;85.4
4;82.2
5.7;80.1
5.7;86.5
2.9;84.6
8.3;86.8
5.2;91.2
3.7;84.2
3.1;81.6
3.1;83.3
5.7;75.3
4;85.3
4.4;83.6
3.8;86.7
3.3;85.1
4.7;88.5
5.2;80
2.3;77.3
4;80.5
4;79.7
2.9;83.1
3.1;78.8
4;86.5
4;87.4
4;80.4
3.8;86.9
4.4;84.7
3.5;83.5
4.4;81.9
4.7;80.2
5.2;77.5
3.2;76.3
3.7;85.5
4.4;86.2
4.3;82.7
4.4;85.5
4;88.6
3.5;88.7
5.7;81.8
3.5;77.6
4.7;83.6
2.5;78.5
3.7;78
5.8;97.2
4.3;72.4
4;79.1
3.5;78.6
3.7;78.4
3.2;79.6
4.3;80.8
4.7;89.9
4.8;83
3.5;81
3.3;87.5
6.4;80.8
2.6;84.7
5.7;82.9
2.9;79.5
4;85.2
2.9;82.6
4;77.1
4.7;75.7
4;84.7
2.6;72.2
5.7;79.6
5.2;81.3
3.5;77.9
3.3;83.2
4.7;78
5.2;82.8
4;83
6.4;87.6
4.7;81
3;81.2
3.1;85
4.4;91
3.1;83.5
4.4;83.1
4.7;77.7
3;76.2
3.2;78.1
2.4;86.5
2.9;83.8
3.3;80.4
5.2;82.2
5.2;90.5
3.3;80.5
4;80.8
3.5;78.5
3.7;81.5
3.2;73.4
5.7;75.4
4;82.5
3.2;77.8
3.7;84.4
3.7;74.9
4;82.9
2.9;78.6
5.2;85.6
4.3;78.6
2.6;78.9
4;82.5
3.7;78.7
3.7;83.3
5.2;72.8
3.5;82.3
3.3;86.6
3.5;84
4.4;79.9
3.5;75.5
5.2;88
3.7;82.2
4;83.1
3.7;77.3
2.9;75.2
3.5;82
4.7;80.5
2.5;81.2
4;76.6
3.7;71.5
2.3;81.1
3.3;82.1
3.8;82
3.5;86.9
3.3;85.4
2.9;79.2
3.5;85.2
3.5;84
3.7;76.6
3.7;81.8
3.7;80.1
3.2;75.4
3.1;79.1
3.4;75.5
3.7;86.1
3.7;75.1
3.1;81.6
4.4;88.7
3.1;82.3
2.7;77.4
4.4;86.8
2.6;77.3
4;78.2
2.9;77.1
4;86.6
4.7;80.4
3.3;80.6
3.4;72.4
4;77.6
4.4;83.1
3.2;74.1
3.2;75.7
4.7;72.6
4.7;70.5
2.6;77.9
2.2;73.9
3.1;80.6
2.8;85.5
3.5;84.7
3.7;85.8
4;84.2
2.2;79.4
3.5;84.5
4.3;77.5
3;83.5
3.7;77.8
4.3;73.1
4.3;73.8
3.4;73.6
4.7;80.6
2.2;76.4
2.4;73.8
5.2;77.6
3;73.6
2.9;78.2
3.5;84.8
4;76.6
3.9;68.8
3.5;74.7
2.9;77.9
4;72.7
4.4;80.7
3.9;77.6
4.3;76.8
3.7;78.2
4;77.6
3;75.1
4;79.1
4;74.2
3.3;79.2
4;83.5
3.7;72.1
2.9;72.2
3.7;79.5
3.7;80.7
5.8;82.5
8.3;75.3
3.5;71.9
2.4;71.6
2.3;76.8
4.7;76.4
3.3;78.1
2.9;72.9
6.4;76
2.7;67.4
