77.4;19.7
67.8;6.3
79.9;4.3
76.6;9.6
72.3;11.7
75.1;7.2
76.3;6.3
78;4.3
68.3;19.7
76.6;4.6
72.2;6.3
66.1;14.6
70.7;8.1
73.2;11.7
80.2;5.6
59.5;7
73.7;8.2
75.1;11.7
82.7;5.2
80.2;9.7
75.3;5.1
74.4;4.3
69.7;6.3
79.2;4.7
75.3;6.4
71.8;3.4
68.2;7.1
79.1;7.2
66.5;8.2
71;5
75.8;8.3
74.7;7.2
81.7;5.7
80;11.7
81.3;8.2
68.9;7.1
62.7;5.1
70.9;4.6
71.1;7.1
73.5;8.1
72;6.3
82.7;8.3
75.2;6.3
75.3;5.7
76.9;4.3
77.3;11.7
74.9;7.1
75.4;4.7
69.9;6.3
70.4;3.6
71.4;4.2
70.1;7.1
76.3;6.3
66.2;5.6
76.7;5.1
80.3;8.2
76.1;14.7
73.2;6.3
73.9;5.7
79.6;8.3
75.9;6.3
80.6;4
83.4;5.7
73.4;7.2
70.5;5.1
67.3;6.4
75.2;5.7
73.7;4
81.9;7.2
78;4
79.2;4.6
84.6;9.7
74.6;4.3
71.5;8.1
69.8;5.6
72.3;7.2
74.9;6.2
65.7;4.2
87;9.7
73.5;4.7
65.3;4.6
77.4;4.7
70.8;5.6
81.9;6.4
71;7.2
69.8;4
74;4.2
72.5;4.7
74.4;4.3
73.6;5.7
73.8;4
73.7;4.7
73.4;3.4
72.7;5.7
54.7;6.2
70.3;3.9
76.1;5.7
74.6;5.1
72.7;4.7
69.3;4.3
75.9;8.2
70.2;6.3
71;3.4
76.1;5.7
83.4;5.1
74.6;7.2
71.4;5.1
76.7;4
72.1;8.2
84.5;4.3
79;5.7
79.6;7.2
70;4.7
72;3.4
72;5.1
73.7;2.8
78.1;6.3
70.1;2.6
72.4;5.1
70.5;4
74.1;4.3
80.9;4
68.6;3.2
78.8;9.7
84.7;6.4
75.6;4.7
72.8;7.2
70.5;5.1
75.4;4.3
57.5;4.2
70.9;4.6
65.5;5.6
61.3;3.8
64.4;3.1
77;7.2
74.9;4.3
72.7;6.3
77.2;3.4
66.8;6.2
77;5.1
73.6;4.7
63.8;3.9
67.8;3.9
76.5;3.4
70.6;4.7
63.8;3.9
68.8;5.1
69.9;4
72.3;4
65;8.2
67.5;3.4
69.8;3.4
67;3.7
62.6;5.1
65.5;2.8
71.3;3.6
62.1;5.6
70.1;3
68.7;4.3
75.3;6.4
64.4;5.6
72.6;4.7
69.9;7.1
70.8;3.7
69;2.8
64.1;5.6
61.2;6.3
70.4;8.2
74.3;4.3
70;3.9
63.7;4.6
67.5;4.3
61.6;3.9
61.1;4.6
62.4;4.6
72.9;3.7
66.1;3.2
71.4;5.1
57.7;2.6
52.4;3.6
54;3.6
39.5;2.7
36.5;4
26.3;4.1
18.3;5.7
23.6;3.6
29.3;2.7
25;4.9
44.3;4.1
45.3;3.7
33.6;3
38.7;2.6
15.8;5.2
20.9;2.9
12.5;3.3
18.1;3.9
21.5;2.6
17.7;2.3
12;2.4
8.4;2.6
16.9;3.4
16.5;3.2
11.1;2.9
17.4;5.7
10.9;4.1
12.3;2.1
10.9;3.6
9.4;5.9
10.9;2.9
13.8;4
12.7;2
12.2;3.7
14;2.9
14.6;2.4
11.3;2.4
11.1;3.6
10.8;3.4
12.5;1.9
18.1;2.2
12.4;2.8
9.8;4.9
9.6;3.2
11.3;3.5
8.9;5.7
8.4;6.4
8.4;6.4
10.3;6.2
13;4.8
10;2.8
9.4;5.1
7.8;2.8
8.8;58.9
9.9;5.3
3.7;6.7
4.8;2.2
9.6;4.3
10.1;3.7
11.1;6.8
8.4;4
7.2;6.6
6.8;9.1
9.3;8
7.2;3.3
9.1;7.1
11.3;4.6
10;2.6
6.7;11.6
10.2;3.7
12.7;2.5
11.3;5.1
9.3;8.7
6.3;5.8
13.6;6
12;7
7;2.9
9;3
8.7;2
5.7;3.1
9.2;3.5
11.5;2.9
18.3;3.7
8.8;6.2
9.8;4.3
9;3
7.6;4.3
9.2;3.8
8.7;3
10;2.9
10.9;4.2
10.7;3.8
13.3;2.2
26.6;2.5
41.8;3.5
54;2.7
56.7;4.2
60.5;4.2
59.7;2.2
69;3.2
66.3;3.7
68;3
70.6;2.6
74;3.4
68.7;3.7
67.6;5.7
78.3;3
72.9;3.7
60.4;2.8
58.3;2.1
67.9;3.9
59.5;2.8
60.7;3.3
64.6;3.5
64.1;4.3
37.4;4.4
39.6;3.3
31.8;2.6
33.7;2.1
24.3;4.4
16.2;2.7
18.2;2
15.1;2.2
18.5;1.9
14.4;2.1
19.5;2.5
12;2.8
10.3;2.6
27.1;2.4
25.6;3.7
26.6;3.2
14;2.9
13.3;2.8
14.4;3.1
13.2;2.2
14.6;2.5
14.4;2.2
18.9;2
16.9;2.5
13.9;1.9
14.1;3
9.4;4.8
7.3;2.3
8;2.5
10.6;3.5
11.4;3
10.4;3.5
15.4;2.1
10.3;3
9.4;3.4
11.5;2
12.7;4.5
10.6;2.5
11.2;2.3
14.1;3.4
13.8;2.6
16.5;2
14.7;2
9.9;3.4
16.9;3.3
11.8;2.5
13.8;2.3
20.5;2.3
14.6;2
15.3;2.8
13;3.3
8.7;3.2
12.7;2.2
14.9;2.4
8.7;2.8
