LANE_02;73.3;29.7
LANE_03;75.4;7.2
LANE_04;90.2;11.7
LANE_05;82.3;19.7
LANE_06;101;29.8
LANE_07;100.2;19.7
LANE_08;92.7;11.8
LANE_09;89.8;14.8
LANE_02;44;28.8
LANE_03;78.6;29.7
LANE_04;82.5;19.8
LANE_05;82.6;19.7
LANE_06;87.6;29.3
LANE_07;109.8;29.8
LANE_08;97.6;6.4
LANE_09;99.7;29.8
LANE_02;65.6;29.6
LANE_03;79.9;8.3
LANE_04;86.2;19.7
LANE_05;89.3;29.7
LANE_06;98.2;29.7
LANE_07;88.3;14.7
LANE_08;98.4;7.3
LANE_09;119.1;59.8
LANE_10;96;59.9
LANE_02;55.5;11.4
LANE_03;78.8;9.7
LANE_04;84;8.3
LANE_05;89.3;59.9
LANE_06;127.5;59.8
LANE_07;97.1;7.2
LANE_08;101.1;5.2
LANE_09;97.4;19.8
LANE_10;93.6;59.8
LANE_02;53.5;19.2
LANE_03;70;8.2
LANE_04;79.3;6.4
LANE_05;92.8;11.7
LANE_06;111.1;59.8
LANE_07;106.7;9.8
LANE_08;93.6;11.7
LANE_09;95.5;59.8
LANE_02;66.6;19.7
LANE_03;76.7;11.7
LANE_04;80.4;59.7
LANE_05;93.1;59.7
LANE_06;71.9;29.7
LANE_07;103.9;14.8
LANE_08;88.7;14.7
LANE_09;95.4;9.8
LANE_02;73;14.7
LANE_03;78.9;14.7
LANE_04;88.7;9.7
LANE_06;119.5;59.8
LANE_07;97.4;11.7
LANE_08;107.9;29.8
LANE_09;84.3;14.7
LANE_02;75.8;59.7
LANE_03;86.6;14.7
LANE_04;97.6;19.8
LANE_05;87;9.7
LANE_06;96.6;29.8
LANE_07;94.4;14.7
LANE_08;96.1;7.3
LANE_09;99.4;19.8
LANE_02;45.9;28.8
LANE_03;81;5.7
LANE_04;109.5;29.8
LANE_05;101.1;29.8
LANE_06;94.9;14.7
LANE_07;85.9;11.7
LANE_08;85.8;11.7
LANE_09;92;29.7
LANE_01;20.8;58.6
LANE_02;71;14.6
LANE_03;80.8;8.3
LANE_04;89.5;29.8
LANE_05;89.1;19.6
LANE_06;106.1;29.8
LANE_07;93;6.3
LANE_08;93.1;11.7
LANE_09;90.3;59.7
LANE_02;61.4;6.2
LANE_03;75.4;19.7
LANE_05;79.9;29.5
LANE_06;92.3;19.8
LANE_07;89;11.7
LANE_08;86.6;11.7
LANE_09;112.9;29.8
LANE_02;65.5;59.7
LANE_03;76.7;59.7
LANE_04;88.1;29.8
LANE_05;89.5;19.8
LANE_06;86.5;19.8
LANE_07;97.7;8.3
LANE_08;89.7;11.7
LANE_09;105.6;11.8
LANE_02;47.2;14.2
LANE_03;72.4;11.7
LANE_04;89.8;14.7
LANE_05;74.7;29.6
LANE_06;72.9;19.7
LANE_07;81.2;29.8
LANE_08;90.5;29.8
LANE_09;86.7;29.8
LANE_02;70.2;11.6
LANE_03;77.5;11.7
LANE_04;86;7.2
LANE_05;82.7;14.7
LANE_06;80.7;59.7
LANE_07;87.3;9.7
LANE_08;103.2;11.8
LANE_09;101.4;14.8
LANE_10;119.3;29.8
LANE_02;53.3;29.6
LANE_03;79.6;19.7
LANE_04;89.4;14.7
LANE_05;91.6;14.7
LANE_06;98.5;14.8
LANE_07;83.4;19.7
LANE_08;94.2;9.7
LANE_09;92.7;9.7
LANE_02;44;28.8
LANE_03;73.9;11.6
LANE_04;74.9;59.7
